	Species	Genes	Methylobacterium durans	Methylobacterium indicum	Methylobacterium phyllosphaerae	Methylobacterium radiodurans	Methylobacterium terrae	mean ZH-Score
315	5	5	WP_109887460.1	WP_048430054.1	WP_043350524.1	WP_109949926.1	WP_109959032.1	21916.49725882353
498	5	5	WP_109888242.1	WP_207182255.1	WP_043381611.1	WP_109951200.1	WP_109958999.1	21691.383930000004
1397	5	5	WP_109891466.1	WP_207180606.1	WP_043383260.1	WP_109954101.1	WP_109961160.1	21297.196216666667
2621	5	5	WP_194075138.1	WP_244748665.1	WP_236952809.1	WP_245930614.1	WP_109961360.1	21295.091113333336
2099	5	5	WP_109895089.1	WP_207177735.1	WP_075380378.1	WP_109952330.1	WP_109960166.1	21090.57451818182
335	5	5	WP_109887488.1	WP_048430041.1	WP_043345222.1	WP_109949685.1	WP_109959042.1	21020.672070588236
2311	5	5	WP_109895703.1	WP_048427566.1	WP_083683702.1	WP_109953760.1	WP_109961500.1	20966.9469
1600	5	5	WP_109891913.1	WP_048427842.1	WP_043757891.1	WP_109953298.1	WP_109959309.1	20820.789575000003
192	5	5	WP_109887079.1	WP_207179355.1	WP_075381037.1	WP_109949754.1	WP_109958504.1	20525.059236363635
1388	5	5	WP_109891448.1	WP_058617185.1	WP_051976088.1	WP_109951161.1	WP_245442652.1	20050.703266666664
1844	5	5	WP_109893363.1	WP_058618133.1	WP_075379986.1	WP_109953254.1	WP_109960569.1	20021.392055555552
2703	5	5	WP_236960174.1	WP_207183039.1	WP_075381360.1	WP_109953683.1	WP_109961838.1	19792.650594736842
411	5	6	WP_109887756.1	WP_058618059.1	WP_075380691.1	WP_109950973.1	WP_109958624.1,WP_109959886.1	19635.426263636364
2102	5	5	WP_109895095.1	WP_048429502.1	WP_043349135.1	WP_109952327.1	WP_109960918.1	19590.4411
203	5	5	WP_109887106.1	WP_048427265.1	WP_043347845.1	WP_109951515.1	WP_109957850.1	19542.9384
1364	5	5	WP_109891392.1	WP_244749056.1	WP_075381974.1	WP_109949733.1	WP_245443071.1	19393.184433333332
1363	5	5	WP_109891390.1	WP_207183227.1	WP_236952714.1	WP_109949734.1	WP_109961854.1	19393.184433333332
709	5	5	WP_109889283.1	WP_048429485.1	WP_043379364.1	WP_245930822.1	WP_245442968.1	19220.959845833335
2362	5	5	WP_109895828.1	WP_207181060.1	WP_053609051.1	WP_109952191.1	WP_109962414.1	18994.515447058824
2774	5	5	WP_236960577.1	WP_244496495.1	WP_043345866.1	WP_109950487.1	WP_245442890.1	18856.437544444445
2864	5	5	WP_236961012.1	WP_207181354.1	WP_075379811.1	WP_109953662.1	WP_109960425.1	18647.638834999998
181	5	6	WP_109887045.1	WP_207182364.1	WP_043379947.1	WP_109951887.1,WP_109953732.1	WP_109958043.1	18562.93770769231
1237	5	5	WP_109890935.1	WP_058620076.1	WP_236952992.1	WP_109951416.1	WP_109960219.1	18535.794142857147
675	5	5	WP_109889032.1	WP_207177942.1	WP_075379685.1	WP_109951903.1	WP_109960906.1	18524.446990909095
1336	5	5	WP_109891330.1	WP_048431591.1	WP_170861819.1	WP_109953966.1	WP_245442826.1	18444.456446666667
2106	5	5	WP_109895103.1	WP_048429557.1	WP_043349148.1	WP_109952336.1	WP_109961678.1	18419.72525
1283	5	5	WP_109891200.1	WP_048427152.1	WP_085987654.1	WP_109950730.1	WP_245442908.1	18385.44845714286
2695	5	5	WP_236960162.1	WP_048430382.1	WP_091955096.1	WP_109953562.1	WP_245443077.1	18364.328110526316
2451	5	5	WP_109896420.1	WP_207180442.1	WP_053611120.1	WP_109950673.1	WP_109960450.1	18217.205400000003
443	5	5	WP_109887836.1	WP_048425872.1	WP_043346045.1	WP_109951393.1	WP_109961314.1	18112.648353846154
215	5	5	WP_109887133.1	WP_048428896.1	WP_043757166.1	WP_109951496.1	WP_109960140.1	17956.879377272733
2062	5	5	WP_109894784.1	WP_207178202.1	WP_075381400.1	WP_109950643.1	WP_109957845.1	17878.773159090913
2002	5	5	WP_109894389.1	WP_207181841.1	WP_043381719.1	WP_245931030.1	WP_109960033.1	17427.508093750002
2498	5	5	WP_109896592.1	WP_207180178.1	WP_043387030.1	WP_109953682.1	WP_109961477.1	17305.595554545453
109	5	5	WP_109886873.1	WP_048430791.1	WP_075379627.1	WP_109953187.1	WP_109957734.1	17301.358507142857
2450	5	5	WP_109896414.1	WP_207180424.1	WP_075381888.1	WP_109952884.1	WP_245442772.1	16844.5564
2252	5	5	WP_109895552.1	WP_048425826.1	WP_043387382.1	WP_109952586.1	WP_048431920.1	16807.401166666667
984	5	5	WP_109890104.1	WP_207177948.1	WP_075381281.1	WP_109951026.1	WP_109959133.1	16695.031342857143
1716	5	5	WP_109892328.1	WP_048427215.1	WP_043353490.1	WP_109952909.1	WP_109958973.1	16605.81259166667
891	5	5	WP_109889777.1	WP_048426069.1	WP_043351982.1	WP_109949913.1	WP_109958344.1	15922.074700000001
1575	5	5	WP_109891853.1	WP_207178616.1	WP_043357432.1	WP_109952039.1	WP_109959755.1	15729.670694736844
883	5	5	WP_109889755.1	WP_207178386.1	WP_075380111.1	WP_109951399.1	WP_208642235.1	15708.272487499999
2054	5	5	WP_109894752.1	WP_244749046.1	WP_053609976.1	WP_109952648.1	WP_109958652.1	15522.414881818184
2413	5	5	WP_109896189.1	WP_207181711.1	WP_051044790.1	WP_109950616.1	WP_109962164.1	15495.695561538461
2440	5	5	WP_109896345.1	WP_207179611.1	WP_043354580.1	WP_109954110.1	WP_109958252.1	15466.80346923077
2206	5	5	WP_109895460.1	WP_048430559.1	WP_051975901.1	WP_245930629.1	WP_109959333.1	15434.193104545457
57	5	5	WP_109886762.1	WP_048430192.1	WP_043352288.1	WP_066923421.1	WP_109957838.1	15427.04556
2550	5	5	WP_109896958.1	WP_207182418.1	WP_043349198.1	WP_109953364.1	WP_109961248.1	15402.667718749999
2254	5	5	WP_109895556.1	WP_048425824.1	WP_012319178.1	WP_109952588.1	WP_109960471.1	15387.068155000004
1967	5	5	WP_109894173.1	WP_058617532.1	WP_043384440.1	WP_109951547.1	WP_109961667.1	15321.897953333333
1455	5	5	WP_109891576.1	WP_207178955.1	WP_075380538.1	WP_109950469.1	WP_109961298.1	15309.306264285713
1853	5	5	WP_109893400.1	WP_244748920.1	WP_020095642.1	WP_066924708.1	WP_048430796.1	15265.648595
1563	5	5	WP_109891825.1	WP_207179643.1	WP_053608291.1	WP_109952067.1	WP_109960398.1	15238.67446875
890	5	5	WP_109889776.1	WP_082171832.1	WP_051044824.1	WP_245930772.1	WP_109958343.1	15220.563305882355
2484	5	5	WP_109896550.1	WP_179945843.1	WP_236953019.1	WP_245931103.1	WP_109962012.1	15044.088792307692
2156	5	5	WP_109895228.1	WP_207181562.1	WP_075380265.1	WP_109951672.1	WP_109959142.1	15001.29652142857
1040	5	9	WP_109890294.1,WP_109896139.1,WP_109896147.1	WP_048430052.1,WP_207177883.1	WP_043346690.1	WP_109953321.1	WP_109959034.1,WP_109961198.1	14979.439936842102
2762	5	5	WP_236960522.1	WP_207183510.1	WP_170861809.1	WP_245930909.1	WP_245442484.1	14924.9301125
1161	5	5	WP_109890741.1	WP_207180423.1	WP_075380097.1	WP_109952886.1	WP_109957363.1	14799.5143
2515	5	5	WP_109896660.1	WP_207183030.1	WP_043760740.1	WP_109952904.1	WP_109961924.1	14738.870230434784
2105	5	5	WP_109895101.1	WP_048429558.1	WP_043349145.1	WP_109952337.1	WP_109961677.1	14718.711289473684
853	5	5	WP_109889687.1	WP_244748567.1	WP_075381378.1	WP_109950044.1	WP_109959057.1	14660.37842857143
283	5	6	WP_109887355.1,WP_109894848.1	WP_207182479.1	WP_043379552.1	WP_109952757.1	WP_109957668.1	14580.489672727274
338	5	5	WP_109887493.1	WP_207178178.1	WP_043381094.1	WP_109950749.1	WP_109957825.1	14504.872533333335
2838	5	5	WP_236960941.1	WP_207179398.1	WP_075380746.1	WP_109949635.1	WP_109959734.1	14469.374269565218
1157	5	5	WP_109890733.1	WP_207180545.1	WP_043355872.1	WP_109951487.1	WP_109959224.1	14454.016363636363
3624	5	5	WP_109888247.1	WP_207182252.1	WP_075381451.1	WP_109949764.1	WP_109958994.1	14270.9096
2794	5	5	WP_236960690.1	WP_058618695.1	WP_051045123.1	WP_109949661.1	WP_208642207.1	14269.401685714287
2510	5	5	WP_109896640.1	WP_207178934.1	WP_043348384.1	WP_109953759.1	WP_109958429.1	14087.472534999999
1598	5	5	WP_109891905.1	WP_207181772.1	WP_075380368.1	WP_109953302.1	WP_109959313.1	14011.3079875
2075	5	5	WP_109895033.1	WP_207180642.1	WP_043351352.1	WP_109951836.1	WP_109961143.1	14008.408892307692
116	5	5	WP_109886887.1	WP_207178080.1	WP_043356492.1	WP_109953196.1	WP_109957756.1	13964.138292857142
941	5	5	WP_109889962.1	WP_048427220.1	WP_043384907.1	WP_109951521.1	WP_109958969.1	13913.206438095236
2458	5	5	WP_109896458.1	WP_048425973.1	WP_075380861.1	WP_109950699.1	WP_109958771.1	13759.140493333334
1542	5	5	WP_109891769.1	WP_048425882.1	WP_043356534.1	WP_109953182.1	WP_109960038.1	13740.29496
2795	5	5	WP_236960692.1	WP_244748641.1	WP_075380868.1	WP_109949663.1	WP_109961319.1	13709.279735714286
1697	5	5	WP_109892276.1	WP_207180498.1	WP_075381827.1	WP_109953227.1	WP_109960357.1	13408.590811111111
372	5	5	WP_109887568.1	WP_048430231.1	WP_075380891.1	WP_109953598.1	WP_109959199.1	13375.254491666665
1184	5	5	WP_109890803.1	WP_207180468.1	WP_043385177.1	WP_109952050.1	WP_109960346.1	13340.178387878788
336	5	5	WP_109887489.1	WP_207178325.1	WP_043380249.1	WP_109949684.1	WP_109959043.1	13300.048746666665
1492	5	5	WP_109891645.1	WP_244749042.1	WP_075381507.1	WP_109953559.1	WP_109962013.1	13289.76882
1490	5	5	WP_109891641.1	WP_091750843.1	WP_075381508.1	WP_109953554.1	WP_109960391.1	13128.200192307691
875	5	5	WP_109889736.1	WP_048430111.1	WP_043353149.1	WP_109950461.1	WP_109961976.1	13091.754266666667
764	5	5	WP_109889443.1	WP_207177921.1	WP_170861859.1	WP_109949976.1	WP_109958647.1	13044.148263636365
96	5	5	WP_109886848.1	WP_048426846.1	WP_078947062.1	WP_109951575.1	WP_109960413.1	13040.240809523808
2845	5	5	WP_236960958.1	WP_048430656.1	WP_085987650.1	WP_245930937.1	WP_109960601.1	12962.546725
1100	5	5	WP_109890527.1	WP_207179583.1	WP_043354248.1	WP_109950923.1	WP_109959559.1	12961.223275000002
2551	5	5	WP_109896961.1	WP_082171956.1	WP_043388170.1	WP_109951867.1	WP_109959603.1	12863.706480000003
743	5	5	WP_109889392.1	WP_048429543.1	WP_012321860.1	WP_109949994.1	WP_109957333.1	12767.871947368423
1649	5	5	WP_109892140.1	WP_048427363.1	WP_078947082.1	WP_109953661.1	WP_109960423.1	12735.030850000001
698	5	5	WP_109889250.1	WP_048428399.1	WP_043351099.1	WP_109949604.1	WP_109958940.1	12720.98725
1337	5	5	WP_109891332.1	WP_048431592.1	WP_043351113.1	WP_109953965.1	WP_109958057.1	12678.79421578947
1523	5	5	WP_109891719.1	WP_048430617.1	WP_075381468.1	WP_109951848.1	WP_109959187.1	12663.54970625
2711	5	5	WP_236960197.1	WP_244748978.1	WP_083683774.1	WP_245930661.1	WP_109961925.1	12506.158316000001
1731	5	5	WP_109892368.1	WP_048426584.1	WP_043357109.1	WP_109952531.1	WP_109959075.1	12398.786992592593
1856	5	5	WP_109893408.1	WP_058617769.1	WP_083683734.1	WP_109953909.1	WP_109962428.1	12373.325337500002
1534	5	5	WP_109891747.1	WP_207180754.1	WP_075381903.1	WP_109951998.1	WP_109957968.1	12355.790833333333
272	5	5	WP_109887330.1	WP_244748696.1	WP_051045068.1	WP_109951483.1	WP_109960269.1	12288.156500000001
1503	5	5	WP_109891671.1	WP_058619161.1	WP_075382100.1	WP_109953572.1	WP_109960293.1	12255.317875
2310	5	5	WP_109895701.1	WP_244748672.1	WP_043345875.1	WP_245930713.1	WP_109961501.1	12244.654935294117
887	5	5	WP_109889763.1	WP_207178382.1	WP_043756983.1	WP_109951403.1	WP_109961088.1	12178.445753333333
1167	5	5	WP_109890755.1	WP_207183251.1	WP_043379496.1	WP_109952083.1	WP_109961881.1	12169.209230769231
79	5	5	WP_109886809.1	WP_048429970.1	WP_078946996.1	WP_109951804.1	WP_109959203.1	12132.785385714285
422	5	5	WP_109887790.1	WP_207181373.1	WP_043757844.1	WP_109949895.1	WP_109960409.1	12105.807513333333
1958	5	5	WP_109894151.1	WP_207183150.1	WP_051045108.1	WP_109951536.1	WP_245443066.1	12074.469628571429
2657	5	5	WP_194075247.1	WP_207183604.1	WP_075379600.1	WP_109952532.1	WP_109959076.1	12070.554328
289	5	5	WP_109887363.1	WP_048431368.1	WP_043756927.1	WP_109952310.1	WP_109960663.1	12005.096328571426
2706	5	5	WP_236960190.1	WP_207180462.1	WP_043345843.1	WP_109953366.1	WP_109960340.1	11943.732805263156
1613	5	5	WP_109891945.1	WP_244749099.1	WP_053611139.1	WP_109953680.1	WP_109961478.1	11923.578133333334
1238	5	5	WP_109890937.1	WP_048427861.1	WP_043380112.1	WP_109951415.1	WP_109960218.1	11920.472921739127
2170	5	5	WP_109895262.1	WP_207178707.1	WP_043346349.1	WP_109952482.1	WP_109959604.1	11868.72572777778
3283	5	5	WP_194075087.1	WP_244748797.1	WP_075379611.1	WP_204165299.1	WP_245442653.1	11864.319025000003
681	5	5	WP_109889051.1	WP_207181416.1	WP_081948680.1	WP_109950519.1	WP_109957634.1	11823.247573333334
1558	5	5	WP_109891811.1	WP_207179834.1	WP_091955384.1	WP_109951777.1	WP_109958602.1	11792.905793333333
2195	5	6	WP_109895412.1,WP_236960202.1	WP_082711559.1	WP_043755239.1	WP_245930666.1	WP_109960306.1	11747.492585714286
520	5	5	WP_109888408.1	WP_048429800.1	WP_075380866.1	WP_109950428.1	WP_109959650.1	11740.841566666668
2783	5	5	WP_236960615.1	WP_207178815.1	WP_075380402.1	WP_245930754.1	WP_109960008.1	11729.908421739132
1571	5	5	WP_109891843.1	WP_207178624.1	WP_043347399.1	WP_109952034.1	WP_109959761.1	11649.636083333331
867	5	5	WP_109889720.1	WP_058621077.1	WP_075380871.1	WP_109949659.1	WP_208642349.1	11628.322216129029
1270	5	5	WP_109891162.1	WP_058619219.1	WP_043357769.1	WP_109950697.1	WP_109958773.1	11613.779438888889
759	5	5	WP_109889437.1	WP_207177865.1	WP_043385234.1	WP_109949983.1	WP_109958202.1	11596.906053333334
204	5	5	WP_109887108.1	WP_048427266.1	WP_043347847.1	WP_109951513.1	WP_109957851.1	11591.660823809523
2287	5	5	WP_109895639.1	WP_048426547.1	WP_043379880.1	WP_109951434.1	WP_048432898.1	11568.91534375
650	5	6	WP_109888958.1	WP_207180195.1	WP_075380809.1,WP_075382260.1	WP_109950510.1	WP_109962327.1	11478.375073076922
928	5	5	WP_109889895.1	WP_058619869.1	WP_043384277.1	WP_109951218.1	WP_109957978.1	11364.521352631578
1319	5	5	WP_109891286.1	WP_048431059.1	WP_043352241.1	WP_109953486.1	WP_109957997.1	11354.58653125
710	5	5	WP_109889285.1	WP_058619886.1	WP_043381050.1	WP_204165221.1	WP_109959122.1	11303.57495
1618	5	5	WP_109891955.1	WP_048426440.1	WP_075379776.1	WP_109953591.1	WP_109961486.1	11263.293470588236
1269	5	5	WP_109891160.1	WP_207178021.1	WP_075380860.1	WP_109950696.1	WP_245442876.1	11138.584845000001
1541	5	5	WP_109891767.1	WP_244748888.1	WP_236952973.1	WP_109954309.1	WP_245443025.1	11134.745118750001
1662	5	5	WP_109892178.1	WP_048427505.1	WP_043353755.1	WP_109952119.1	WP_109961959.1	11025.0548
662	5	5	WP_109888987.1	WP_048428632.1	WP_043351177.1	WP_109950615.1	WP_109958411.1	10974.480486666667
1648	5	5	WP_109892138.1	WP_048427333.1	WP_043756154.1	WP_109954372.1	WP_109960424.1	10926.357913333333
1010	5	5	WP_109890226.1	WP_058619849.1	WP_043356333.1	WP_109952985.1	WP_109957877.1	10812.885535294117
857	5	5	WP_109889695.1	WP_048430657.1	WP_053609909.1	WP_109950048.1	WP_048451812.1	10806.926228571427
2033	5	6	WP_109894542.1	WP_082711483.1	WP_043389080.1	WP_109951109.1,WP_109953496.1	WP_109961387.1	10780.024285714286
1656	5	5	WP_109892156.1	WP_207180461.1	WP_236952978.1	WP_245931092.1	WP_109960339.1	10778.424504166667
2289	5	5	WP_109895643.1	WP_048426549.1	WP_043357734.1	WP_109951432.1	WP_048432900.1	10771.189686666667
2738	5	5	WP_236960434.1	WP_207177860.1	WP_075381910.1	WP_109951680.1	WP_109958212.1	10753.409925
312	5	5	WP_109887457.1	WP_207182311.1	WP_075382085.1	WP_109949929.1	WP_109958654.1	10716.022995000001
169	5	5	WP_109887021.1	WP_207183618.1	WP_075380836.1	WP_109949494.1	WP_109958327.1	10708.375137500001
2441	5	5	WP_109896347.1	WP_207179608.1	WP_043387707.1	WP_109951269.1	WP_109958251.1	10698.765944444445
858	5	5	WP_109889701.1	WP_207182180.1	WP_043354359.1	WP_109950033.1	WP_109960615.1	10685.612089999999
1520	5	5	WP_109891713.1	WP_058618632.1	WP_053609952.1	WP_109953072.1	WP_109959185.1	10666.678623529411
1709	5	5	WP_109892308.1	WP_207181804.1	WP_075381833.1	WP_245931076.1	WP_109960098.1	10592.434752941175
2125	5	5	WP_109895146.1	WP_048428686.1	WP_043355343.1	WP_109954176.1	WP_109962201.1	10535.563005263155
2808	5	5	WP_236960781.1	WP_058620398.1	WP_075381088.1	WP_245930738.1	WP_109958939.1	10518.250027777778
2634	5	5	WP_194075183.1	WP_207180653.1	WP_043758858.1	WP_204165253.1	WP_109961135.1	10495.515910000002
818	5	5	WP_109889589.1	WP_207182073.1	WP_075381006.1	WP_109950120.1	WP_109960727.1	10421.874271428575
2221	5	5	WP_109895488.1	WP_207179141.1	WP_053611104.1	WP_109951991.1	WP_109960249.1	10407.328852631581
223	5	5	WP_109887155.1	WP_048430824.1	WP_043385259.1	WP_109949505.1	WP_109957812.1	10382.92303333333
101	5	5	WP_109886858.1	WP_048426817.1	WP_043347099.1	WP_109951935.1	WP_109962272.1	10321.751558823527
1712	5	5	WP_109892314.1	WP_207183412.1	WP_043383693.1	WP_109953209.1	WP_109962351.1	10292.155092857143
1373	5	5	WP_109891410.1	WP_207178335.1	WP_043758868.1	WP_109950499.1	WP_109957593.1	10189.745180000002
2148	5	5	WP_109895200.1	WP_207182432.1	WP_075380255.1	WP_109952106.1	WP_109960508.1	10132.632075
2295	5	5	WP_109895661.1	WP_207179579.1	WP_043379890.1	WP_109951426.1	WP_109959562.1	9995.169537499998
1497	5	5	WP_109891657.1	WP_048430360.1	WP_043380350.1	WP_109953565.1	WP_109962007.1	9917.90819375
2726	5	5	WP_236960358.1	WP_207179481.1	WP_075380501.1	WP_109951666.1	WP_109959852.1	9912.563065384616
1675	5	5	WP_109892216.1	WP_207178938.1	WP_236952728.1	WP_109953757.1	WP_109958428.1	9884.734525
2860	5	5	WP_236960997.1	WP_207181859.1	WP_043356527.1	WP_109953184.1	WP_245443026.1	9870.567524999999
635	5	5	WP_109888924.1	WP_048461482.1	WP_075379726.1	WP_109950430.1	WP_109957329.1	9734.214222222223
2633	5	5	WP_194075178.1	WP_048427186.1	WP_170861826.1	WP_245930786.1	WP_208642231.1	9731.824045454547
419	5	5	WP_109887782.1	WP_058617869.1	WP_075382075.1	WP_109949897.1	WP_109957502.1	9722.520815789472
7	5	5	WP_007566773.1	WP_048430690.1	WP_007566773.1	WP_066922442.1	WP_012336551.1	9703.068061538464
1056	5	5	WP_109890330.1	WP_048428611.1	WP_043357650.1	WP_109952316.1	WP_109960765.1	9613.616839999999
2418	5	5	WP_109896237.1	WP_048428848.1	WP_043381239.1	WP_109953436.1	WP_109959121.1	9608.19405
168	5	5	WP_109887020.1	WP_207179376.1	WP_043348341.1	WP_109949495.1	WP_109958328.1	9605.647122222224
2444	5	5	WP_109896382.1	WP_058618918.1	WP_043354241.1	WP_109950920.1	WP_109959557.1	9487.419357894736
2018	5	5	WP_109894431.1	WP_048431575.1	WP_043350679.1	WP_109952382.1	WP_109961787.1	9475.83988695652
2023	5	5	WP_109894443.1	WP_048461214.1	WP_043379642.1	WP_109952374.1	WP_109961794.1	9462.518800000002
1192	5	5	WP_109890819.1	WP_207183268.1	WP_053609022.1	WP_109952058.1	WP_109959667.1	9445.301194117648
2401	5	5	WP_109896109.1	WP_048431488.1	WP_043349698.1	WP_109949937.1	WP_109960090.1	9442.822952173914
1975	5	5	WP_109894195.1	WP_207183133.1	WP_012318476.1	WP_109952433.1	WP_109961664.1	9346.159964285715
1367	5	5	WP_109891398.1	WP_048428325.1	WP_043380277.1	WP_109950494.1	WP_109958581.1	9334.376663157895
1720	5	5	WP_109892342.1	WP_207179534.1	WP_236952854.1	WP_109952895.1	WP_109960275.1	9333.459370833332
213	5	5	WP_109887129.1	WP_048431507.1	WP_053608474.1	WP_109954130.1	WP_109960136.1	9310.283114285716
881	5	5	WP_109889751.1	WP_058618168.1	WP_020093672.1	WP_109953931.1	WP_245442477.1	9304.301604347827
321	5	5	WP_109887471.1	WP_048430034.1	WP_043350071.1	WP_109949746.1	WP_109959050.1	9300.598933333331
1710	5	5	WP_109892310.1	WP_207181803.1	WP_075381834.1	WP_109953210.1	WP_109960097.1	9276.870777777778
800	5	5	WP_109889545.1	WP_207180655.1	WP_075380472.1	WP_109950085.1	WP_109961129.1	9270.83765882353
1759	5	5	WP_109892434.1	WP_048427839.1	WP_043345326.1	WP_109953117.1	WP_109959306.1	9206.632333333331
267	5	5	WP_109887326.1	WP_207178478.1	WP_075380291.1	WP_109950593.1	WP_109962569.1	9202.564289999998
2017	5	5	WP_109894429.1	WP_207183086.1	WP_075380063.1	WP_109952383.1	WP_109961786.1	9200.271499999999
1723	5	5	WP_109892348.1	WP_207183627.1	WP_075381835.1	WP_109954259.1	WP_208642362.1	9156.025352
1743	5	5	WP_109892398.1	WP_048426575.1	WP_075380358.1	WP_109954157.1	WP_109959066.1	9140.930945
557	5	5	WP_109888498.1	WP_207177813.1	WP_043355017.1	WP_109950758.1	WP_208642352.1	9123.4556
1736	5	5	WP_109892380.1	WP_048431570.1	WP_043353182.1	WP_066921708.1	WP_048436284.1	9060.557772222222
2775	5	5	WP_236960579.1	WP_244749078.1	WP_075379802.1	WP_245930966.1	WP_245442711.1	8979.653430000002
1127	5	5	WP_109890601.1	WP_048431558.1	WP_043352836.1	WP_109953034.1	WP_109960952.1	8928.013959090908
2728	5	5	WP_236960382.1	WP_244748985.1	WP_043756817.1	WP_109952420.1	WP_109961789.1	8888.649185
2569	5	5	WP_162560440.1	WP_244749079.1	WP_075381032.1	WP_109953445.1	WP_109958521.1	8875.949591304348
2644	5	5	WP_194075199.1	WP_179945935.1	WP_075381097.1	WP_245930988.1	WP_208642305.1	8837.537385000001
763	5	5	WP_109889442.1	WP_207183222.1	WP_043759610.1	WP_245930931.1	WP_109961849.1	8826.209088888889
391	5	5	WP_109887618.1	WP_207178723.1	WP_075381498.1	WP_109951372.1	WP_109959618.1	8779.214942105264
1202	5	5	WP_109890845.1	WP_048430689.1	WP_043351914.1	WP_109949775.1	WP_109959014.1	8776.218477777778
552	5	5	WP_109888492.1	WP_179945940.1	WP_043380685.1	WP_109950754.1	WP_109959418.1	8744.19635
